Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CL10B104KB8NNNC-100nF","C0603",72.500000,-62.300000,-90.000000,bottom
"C2","CL10B104KB8NNNC-100nF","C0603",61.500000,-65.920000,-90.000000,bottom
"C3","CL10B223KB8NNNC-22nF","C0603",61.500000,-62.520000,-90.000000,bottom
"CN3","B2B-XH-A","CONN-TH_B2B-XH-A-LF-SN",67.207500,-57.000000,180.000000,bottom
"R1","ERA2AEB162X","R0402",72.500000,-65.570000,-90.000000,bottom
"U2","DRV8876PWPR","HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP",67.000000,-64.220000,-90.000000,bottom
"U3","MLX90393SLW-ABA-011-RE","VQFN-16_L3.0-W3.0-P0.50-BL-EP1.7",67.000000,-74.000000,0.000000,bottom
"CN1","B2B-XH-A","CONN-TH_B2B-XH-A-LF-SN",54.500000,-62.000000,90.000000,top
"CN2","B2B-XH-A","CONN-TH_B2B-XH-A-LF-SN",80.000000,-62.000000,-90.000000,top
"U1","ESP32-C3-SuperMini","ESP32-S3-SuperMini",67.000000,-65.000000,180.000000,top
"U4","B4B-XH-A","CONN-TH_B4B-XH-A-LF-SN",54.500000,-72.300000,90.000000,top
"U5","B4B-XH-A","CONN-TH_B4B-XH-A-LF-SN",80.000000,-72.300000,-90.000000,top
